station_name,connection_id,panorama_id,connected_panorama_id,building_level_comparison,heading,panorama_lat,panorama_lng,connected_panorama_lat,connected_panorama_lng
東京駅,14,Yskk2AlcwaUa64he8JjV5Q,FgogAjVQYznOWmsqCmszEw,1,-82.5402657,35.67758597,139.7656093,35.67762371,139.7654117
東京駅,15,LKosNG3yIQOWEd-1Ac73FQ,8q2ZJklfKjEoDqEDZOfzxQ,-1,96.96020401,35.67747015,139.7653817,35.67743497,139.7655748
東京駅,15,8q2ZJklfKjEoDqEDZOfzxQ,LKosNG3yIQOWEd-1Ac73FQ,1,-83.03979599,35.67743497,139.7655748,35.67747015,139.7653817
東京駅,16,BaE6oXvWUlgQp6G-HjxRcw,ifhonpeDz53pu5vgqJ-MoA,-1,99.68515635,35.6773997,139.7658352,35.67735761,139.7660175
東京駅,16,ifhonpeDz53pu5vgqJ-MoA,BaE6oXvWUlgQp6G-HjxRcw,1,-80.31484365,35.67735761,139.7660175,35.6773997,139.7658352
東京駅,17,FTj-Lfw_22i0Vpehqfp40A,NxNZhM9Q6ldC-hh_bFFk8w,-1,99.97725026,35.67754287,139.7658576,35.67749693,139.7660522
東京駅,17,NxNZhM9Q6ldC-hh_bFFk8w,FTj-Lfw_22i0Vpehqfp40A,1,-80.02274974,35.67749693,139.7660522,35.67754287,139.7658576
東京駅,18,iOsN1Yyz7ZfLWTWNBNB6jw,_aNlWf5VnpZ28ZZZPXkQOg,1,21.48347253,35.67942788,139.766931,35.67967367,139.76703
東京駅,18,_aNlWf5VnpZ28ZZZPXkQOg,iOsN1Yyz7ZfLWTWNBNB6jw,-1,-158.5165275,35.67967367,139.76703,35.67942788,139.766931
東京駅,19,t5Z9nDhS0mg_RnPIiKpfwQ,MTeneD-D3SNKkO0QFfDTfg,1,25.02910475,35.67938731,139.7669709,35.67964947,139.7670967
東京駅,19,MTeneD-D3SNKkO0QFfDTfg,t5Z9nDhS0mg_RnPIiKpfwQ,-1,-154.9708952,35.67964947,139.7670967,35.67938731,139.7669709
東京駅,20,KDVsCHIkVt-kyHi7TSKQcg,dnyibrLIjoNnxCNqMQMtzg,1,29.97574616,35.67954471,139.7670636,35.67964141,139.7671214
東京駅,20,dnyibrLIjoNnxCNqMQMtzg,KDVsCHIkVt-kyHi7TSKQcg,-1,-150.0242538,35.67964141,139.7671214,35.67954471,139.7670636
東京駅,21,pT4sW7_5eqvI9UQelh6eKw,V3BYCoNIEwAzDG7tboU7OA,1,32.20440998,35.68042688,139.7668148,35.68059123,139.7669223
東京駅,21,pT4sW7_5eqvI9UQelh6eKw,HWWLmCPWHDFQU78osa_vmA,1,21.07884903,35.68042688,139.7668148,35.68060061,139.7668833
東京駅,21,V3BYCoNIEwAzDG7tboU7OA,pT4sW7_5eqvI9UQelh6eKw,-1,-147.79559,35.68059123,139.7669223,35.68042688,139.7668148
東京駅,21,HWWLmCPWHDFQU78osa_vmA,pT4sW7_5eqvI9UQelh6eKw,-1,-158.921151,35.68060061,139.7668833,35.68042688,139.7668148
東京駅,21,ngpLh6Cp50oZzfv2kcAJlg,V3BYCoNIEwAzDG7tboU7OA,1,22.21033942,35.6804213,139.7668512,35.68059123,139.7669223
東京駅,21,ngpLh6Cp50oZzfv2kcAJlg,HWWLmCPWHDFQU78osa_vmA,1,10.04200253,35.6804213,139.7668512,35.68060061,139.7668833
東京駅,21,V3BYCoNIEwAzDG7tboU7OA,ngpLh6Cp50oZzfv2kcAJlg,-1,-157.7896606,35.68059123,139.7669223,35.6804213,139.7668512
東京駅,21,HWWLmCPWHDFQU78osa_vmA,ngpLh6Cp50oZzfv2kcAJlg,-1,-169.9579975,35.68060061,139.7668833,35.6804213,139.7668512
東京駅,23,iVTtb-60txiz6MIdhgJZMQ,19hb4wJWC6AkzQvqF9zFzA,1,27.87372886,35.68049378,139.7666283,35.68068174,139.7667309
東京駅,23,W15lXJv6f9Y-vm2iZY38dA,19hb4wJWC6AkzQvqF9zFzA,1,17.88201185,35.68048478,139.7666662,35.68068174,139.7667309
東京駅,23,19hb4wJWC6AkzQvqF9zFzA,iVTtb-60txiz6MIdhgJZMQ,-1,-152.1262711,35.68068174,139.7667309,35.68049378,139.7666283
東京駅,23,19hb4wJWC6AkzQvqF9zFzA,W15lXJv6f9Y-vm2iZY38dA,-1,-162.1179881,35.68068174,139.7667309,35.68048478,139.7666662
東京駅,23,iVTtb-60txiz6MIdhgJZMQ,P4Q3KRzVagS6UG-we4J-Pg,1,18.48758173,35.68049378,139.7666283,35.68069081,139.7666955
東京駅,23,W15lXJv6f9Y-vm2iZY38dA,P4Q3KRzVagS6UG-we4J-Pg,1,8.043199035,35.68048478,139.7666662,35.68069081,139.7666955
東京駅,23,P4Q3KRzVagS6UG-we4J-Pg,iVTtb-60txiz6MIdhgJZMQ,-1,-161.5124183,35.68069081,139.7666955,35.68049378,139.7666283
東京駅,23,P4Q3KRzVagS6UG-we4J-Pg,W15lXJv6f9Y-vm2iZY38dA,-1,-171.956801,35.68069081,139.7666955,35.68048478,139.7666662
東京駅,24,8JJ0sW76vy3fzkGnrSzh4g,byZgYjyDVNbptTxVDIpjVg,1,22.60825443,35.68053998,139.7664442,35.68072169,139.7665217
東京駅,24,8JJ0sW76vy3fzkGnrSzh4g,N8xlKMX9WHsgQqtK1i-Uxw,1,11.59352935,35.68053998,139.7664442,35.6807317,139.766484
東京駅,24,byZgYjyDVNbptTxVDIpjVg,8JJ0sW76vy3fzkGnrSzh4g,-1,-157.3917456,35.68072169,139.7665217,35.68053998,139.7664442
東京駅,24,N8xlKMX9WHsgQqtK1i-Uxw,8JJ0sW76vy3fzkGnrSzh4g,-1,-168.4064707,35.6807317,139.766484,35.68053998,139.7664442
東京駅,24,eW1HY9rwAu8W7FW29AeJxg,byZgYjyDVNbptTxVDIpjVg,1,31.04371658,35.6805624,139.7664223,35.68072169,139.7665217
東京駅,24,eW1HY9rwAu8W7FW29AeJxg,N8xlKMX9WHsgQqtK1i-Uxw,1,19.6225311,35.6805624,139.7664223,35.6807317,139.766484
東京駅,24,byZgYjyDVNbptTxVDIpjVg,eW1HY9rwAu8W7FW29AeJxg,-1,-148.9562834,35.68072169,139.7665217,35.6805624,139.7664223
東京駅,24,N8xlKMX9WHsgQqtK1i-Uxw,eW1HY9rwAu8W7FW29AeJxg,-1,-160.3774689,35.6807317,139.766484,35.6805624,139.7664223
東京駅,25,Z8x8T1p7TB0e_-kfVMik8A,cITYeqT-4wr1VebqqPUOZg,1,34.1282041,35.68062359,139.7662121,35.68076525,139.7663121
東京駅,25,Z8x8T1p7TB0e_-kfVMik8A,MsQxHUu-msETFpvx9I4TuA,1,21.76439925,35.68062359,139.7662121,35.68077456,139.7662738
東京駅,25,cITYeqT-4wr1VebqqPUOZg,Z8x8T1p7TB0e_-kfVMik8A,-1,-145.8717959,35.68076525,139.7663121,35.68062359,139.7662121
東京駅,25,MsQxHUu-msETFpvx9I4TuA,Z8x8T1p7TB0e_-kfVMik8A,-1,-158.2356007,35.68077456,139.7662738,35.68062359,139.7662121
東京駅,25,R6R0aKnWjT7W6ZpG9H5Qug,cITYeqT-4wr1VebqqPUOZg,1,22.28821569,35.68058188,139.7662351,35.68076525,139.7663121
東京駅,25,R6R0aKnWjT7W6ZpG9H5Qug,MsQxHUu-msETFpvx9I4TuA,1,11.233004,35.68058188,139.7662351,35.68077456,139.7662738
東京駅,25,cITYeqT-4wr1VebqqPUOZg,R6R0aKnWjT7W6ZpG9H5Qug,-1,-157.7117843,35.68076525,139.7663121,35.68058188,139.7662351
東京駅,25,MsQxHUu-msETFpvx9I4TuA,R6R0aKnWjT7W6ZpG9H5Qug,-1,-168.766996,35.68077456,139.7662738,35.68058188,139.7662351
東京駅,26,HWxoVJGGenGlCzR1cqTXog,IKfXEgXkuOPO2-wD8berwQ,1,20.86304005,35.68054961,139.7660494,35.68087649,139.7661768
東京駅,26,IKfXEgXkuOPO2-wD8berwQ,HWxoVJGGenGlCzR1cqTXog,-1,-159.13696,35.68087649,139.7661768,35.68054961,139.7660494
東京駅,27,fCeXvdVFihwcj9Osp0nFOQ,2oSUOKl8WJE12bqD1DgooA,1,-168.8871756,35.68090883,139.76611,35.68073322,139.7660751
東京駅,27,l8hxtFRR9fq4d_Ymb3sF5g,2oSUOKl8WJE12bqD1DgooA,1,-161.3122845,35.68090826,139.7661355,35.68073322,139.7660751
東京駅,27,2oSUOKl8WJE12bqD1DgooA,fCeXvdVFihwcj9Osp0nFOQ,-1,11.11282438,35.68073322,139.7660751,35.68090883,139.76611
東京駅,27,2oSUOKl8WJE12bqD1DgooA,l8hxtFRR9fq4d_Ymb3sF5g,-1,18.68771553,35.68073322,139.7660751,35.68090826,139.7661355
東京駅,28,YjjYXoNVINj9ujNebKNZJA,x1Akacom8235lsfycPTr7w,1,17.19109957,35.680456,139.76603,35.68066183,139.7660948
東京駅,28,x1Akacom8235lsfycPTr7w,YjjYXoNVINj9ujNebKNZJA,-1,-162.8089004,35.68066183,139.7660948,35.680456,139.76603
東京駅,29,ryB6sp5XuCf-E7QxFiCG0A,JUr-xIWsBNBpqMiAOBP_3Q,1,-164.5691069,35.68040508,139.7661423,35.68025125,139.7660991
東京駅,29,JUr-xIWsBNBpqMiAOBP_3Q,ryB6sp5XuCf-E7QxFiCG0A,-1,15.43089314,35.68025125,139.7660991,35.68040508,139.7661423
東京駅,30,rkLwXxutcw3pWyXgC1Fezg,7JauVshFXKGCkmPCGgm_Yg,1,-164.6684804,35.68123573,139.7662419,35.68088503,139.7661443
東京駅,30,7JauVshFXKGCkmPCGgm_Yg,rkLwXxutcw3pWyXgC1Fezg,-1,15.33151965,35.68088503,139.7661443,35.68123573,139.7662419
東京駅,31,0XPZteJ26Zn5H4cE7LIFHQ,XxaT2133gCbTBlJ9IJG8HA,1,21.67149186,35.68089927,139.7661709,35.68121131,139.7662978
東京駅,31,XxaT2133gCbTBlJ9IJG8HA,0XPZteJ26Zn5H4cE7LIFHQ,-1,-158.3285081,35.68121131,139.7662978,35.68089927,139.7661709
東京駅,32,CKY5kxvd8omJPT1YITWWhA,C1_jnpfzUOwvT_M2VZxfAA,1,-160.5026363,35.68127676,139.7664558,35.68112741,139.7664018
東京駅,32,CKY5kxvd8omJPT1YITWWhA,yxlLxeJpnpBmRPDC5n2WWw,1,-173.8787032,35.68127676,139.7664558,35.68111757,139.7664386
東京駅,32,C1_jnpfzUOwvT_M2VZxfAA,CKY5kxvd8omJPT1YITWWhA,-1,19.49736365,35.68112741,139.7664018,35.68127676,139.7664558
東京駅,32,yxlLxeJpnpBmRPDC5n2WWw,CKY5kxvd8omJPT1YITWWhA,-1,6.121296842,35.68111757,139.7664386,35.68127676,139.7664558
東京駅,33,BkdztdhzYhumWxVfeiwFTQ,C6JL4mdx1SQ7P4iv5WNfkQ,1,132.5071273,35.68133526,139.7664492,35.68122855,139.7665584
東京駅,33,C6JL4mdx1SQ7P4iv5WNfkQ,BkdztdhzYhumWxVfeiwFTQ,-1,-47.49287271,35.68122855,139.7665584,35.68133526,139.7664492
東京駅,34,0YF1xydFIJMi0u7qONC11w,uKvvdJV_4hT7E_3QRZ89ow,1,-160.8329346,35.68122066,139.7666652,35.68105658,139.766607
東京駅,34,uKvvdJV_4hT7E_3QRZ89ow,0YF1xydFIJMi0u7qONC11w,-1,19.16706544,35.68105658,139.766607,35.68122066,139.7666652
東京駅,35,PQ20ADHuD0NpeYPlfYj7MA,EhAfHWQtz_OdMdG3Y6Ykcw,1,-169.9074246,35.68117718,139.7668817,35.68098881,139.7668478
東京駅,35,PQ20ADHuD0NpeYPlfYj7MA,LuDRep41ErZLmTeDsRvyeQ,1,-160.6267942,35.68117718,139.7668817,35.68099699,139.766817
東京駅,35,EhAfHWQtz_OdMdG3Y6Ykcw,PQ20ADHuD0NpeYPlfYj7MA,-1,10.0925754,35.68098881,139.7668478,35.68117718,139.7668817
東京駅,35,LuDRep41ErZLmTeDsRvyeQ,PQ20ADHuD0NpeYPlfYj7MA,-1,19.37320578,35.68099699,139.766817,35.68117718,139.7668817
東京駅,36,OFtzLEqxP6nFD6kLuU7q7A,cBciaZ6NvS-pJ2FC6ekTmA,-1,15.0921923,35.68100141,139.766853,35.68118486,139.7669033
東京駅,36,cBciaZ6NvS-pJ2FC6ekTmA,OFtzLEqxP6nFD6kLuU7q7A,1,-164.9078077,35.68118486,139.7669033,35.68100141,139.766853
東京駅,37,0wrusptXHCUL8brfxHUSAg,KQBdV_-ern9NUuXCelHYzg,1,-158.5046458,35.68117284,139.7671101,35.68095217,139.7670212
東京駅,37,0wrusptXHCUL8brfxHUSAg,sPEnGXPTijIHGRw31o4MCA,1,-166.7576027,35.68117284,139.7671101,35.68094386,139.7670555
東京駅,37,KQBdV_-ern9NUuXCelHYzg,0wrusptXHCUL8brfxHUSAg,-1,21.49535423,35.68095217,139.7670212,35.68117284,139.7671101
東京駅,37,sPEnGXPTijIHGRw31o4MCA,0wrusptXHCUL8brfxHUSAg,-1,13.24239734,35.68094386,139.7670555,35.68117284,139.7671101
東京駅,37,1DTyjwCYzKIdDA_Tt8NG8w,KQBdV_-ern9NUuXCelHYzg,1,-167.1092272,35.68118233,139.7670746,35.68095217,139.7670212
東京駅,37,1DTyjwCYzKIdDA_Tt8NG8w,sPEnGXPTijIHGRw31o4MCA,1,-175.4519744,35.68118233,139.7670746,35.68094386,139.7670555
東京駅,37,KQBdV_-ern9NUuXCelHYzg,1DTyjwCYzKIdDA_Tt8NG8w,-1,12.8907728,35.68095217,139.7670212,35.68118233,139.7670746
東京駅,37,sPEnGXPTijIHGRw31o4MCA,1DTyjwCYzKIdDA_Tt8NG8w,-1,4.548025631,35.68094386,139.7670555,35.68118233,139.7670746
東京駅,38,pqA5MpA2hPVWSxBQrWXTkA,aRu95uyFkOszhxI_Lo9daw,-1,87.72238947,35.6811722,139.7675088,35.68116937,139.7676485
東京駅,38,pqA5MpA2hPVWSxBQrWXTkA,CGQgSOokrjvtOtsdXMvlmQ,-1,98.79663043,35.6811722,139.7675088,35.68114193,139.7676496
東京駅,38,aRu95uyFkOszhxI_Lo9daw,pqA5MpA2hPVWSxBQrWXTkA,1,-92.27761053,35.68116937,139.7676485,35.6811722,139.7675088
東京駅,38,CGQgSOokrjvtOtsdXMvlmQ,pqA5MpA2hPVWSxBQrWXTkA,1,-81.20336957,35.68114193,139.7676496,35.6811722,139.7675088
東京駅,38,ZyQ5x7g3iOIDC-YfQHUVXQ,aRu95uyFkOszhxI_Lo9daw,-1,82.87568237,35.68115511,139.7674294,35.68116937,139.7676485
